          Date     Score
0   2020-07-08  0.830915
1   2020-07-15  0.938249
2   2020-07-16  0.835420
3   2020-07-17  0.761676
4   2020-07-18  0.869713
5   2020-07-19  0.833912
6   2020-07-20  0.859501
7   2020-07-21  0.925916
8   2020-07-22  0.893173
9   2020-07-23  0.856130
10  2020-07-24  0.794817
